star planet planets temp mass radius metal period umag gmag rmag imag zmag jmag hmag kmag ESI
STAR-079 b 1 5792 1.02 1.02 0.05 33.3855938 14.365 28.04 31.159 14.778 14.217 14.561 13.073 12.766 47.8
STAR-254 b 2 6064 1.045 1.01 NA 11.903515 12.925 28.04 31.159 15.408 14.889 15.192 13.772 13.487 40.6
STAR-232 d 3 5788 0.97 0.873 NA 29.022358 12.928 12.003 13.206 14.831 14.279 14.625 13.099 12.752 50.8
STAR-424 b 1 4201 0.64 0.61 -0.09 14.28226676 12.183 2.505 3.3 15.911 14.658 15.735 12.689 12.073 53.9
STAR-367 b 3 6034 1.208 1.306 NA 20.860674 13.479 15.4 16.898 15.592 15.199 15.418 14.233 13.983 39.3
STAR-021 c 4 5858 1 1.04 -0.12 13.5708 13.658 4.956 5.811 13.293 12.85 13.084 11.752 11.493 27.1
STAR-028 b 3 5786 1.171 1.491 NA 4.585512 13.352 14.9 16.047 14.174 13.692 13.973 12.678 12.4 41
STAR-071 b 1 4838 0.81 0.74 0.09 53.5293487 12.391 19.07 20.646 15.765 14.815 15.609 13.34 12.842 60.2
STAR-715 c 4 5526 0.85 1.085 NA 6.388996 12.275 12.003 13.206 15.093 14.445 14.859 13.169 12.882 35.4
STAR-615 b 2 5302 0.842 0.759 NA 2.735926 14.035 14.007 15.061 15.241 14.556 15.051 13.278 12.872 43.5
STAR-321 b 4 NA 0.024945 0.185906 NA 4.7779803 13.044 15.4 16.898 13.692 13.009 13.509 11.701 11.291 39.2
STAR-102 b 1 6174 1.33 1.51 0.41 23.44971004 12.445 14.007 15.061 13.666 13.238 13.483 12.234 11.958 42.8
STAR-572 b 1 5181 0.84 0.8 -0.01 3.04033042 13.037 2.505 3.3 15.823 14.978 15.608 13.513 13.016 18.7
STAR-006 b 1 5932 1.06 1.09 0.03 7.19303878 13.859 2.505 3.3 15.883 15.41 15.671 14.371 14.076 45.3
STAR-602 b 1 5493 0.89 0.86 -0.11 6.77030201 12.111 2.505 3.3 16.126 15.562 15.91 14.317 13.91 41.6
STAR-718 c 4 5851 1.183 1.411 0.27 4.901425 14.01 7.32 8.265 12.904 12.427 12.705 11.391 11.114 42.7
STAR-497 b 1 4747 0.75 0.72 -0.04 13.7521072 12.612 28.04 31.159 16.453 15.535 16.31 13.967 13.378 48.8
STAR-206 b 4 6004 0.864 1.12 NA 5.599308 14.281 28.04 29.546 12.104 11.775 11.956 10.814 10.576 34.7
STAR-416 c 3 5821 1.01 1.114 NA 5.370647 12.976 12.003 13.206 14.456 13.924 14.234 12.858 12.47 37.4
STAR-718 d 4 5851 1.183 1.411 0.27 7.958203 14.01 7.32 8.265 12.904 12.427 12.705 11.391 11.114 45.6
STAR-188 b 2 5770 1.185 1.641 NA 15.79186 13.377 10.275 11.331 12.646 11.817 10.252 11.696 0 51.7
STAR-008 c 2 5123 0.914 0.816 NA 6.04045 12.6 14.345 15.644 13.953 13.217 13.738 11.926 11.487 39.1
STAR-016 d 4 6189 1.18 1.403 NA 52.09059 13.642 4.956 5.811 14.273 13.879 14.084 12.913 12.653 41.2
STAR-014 b 1 5520 0.94 0.91 0.07 7.27503724 14.282 2.505 3.3 15.69 14.996 15.509 13.731 13.401 37.2
STAR-687 b 1 4940 0.83 0.77 0.15 2.3432319 13.578 2.505 3.3 15.647 14.699 15.48 13.24 12.74 41.1
STAR-480 b 3 4500 0.648 0.595 NA 5.95488 12.985 14.9 16.047 16.121 14.965 15.96 13.167 12.576 43.8
STAR-198 d 4 5739 0.977 1.027 NA 30.864423 13.433 12.003 13.206 14.045 13.541 13.824 12.416 12.064 43.3
STAR-112 e 6 5663 0.961 1.053 NA 31.9996 13.056 23.73 25.461 14.178 13.653 13.957 12.548 12.237 40.2
STAR-210 c 3 5676 0.89 1.066 NA 20.552802 13.297 15.4 16.898 15.143 14.548 14.916 13.279 12.967 39.8
STAR-649 b 1 6185 1.24 1.33 0.23 17.97979059 12.788 14.007 15.061 13.841 13.466 13.67 12.519 12.262 43.1
